GAME_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,OREB,AST,TOV,HOME_AWAY,OPPONENT_ABBREVIATION,PREV_GAME,REST_DAYS_NUM,REST_DAYS,OPP_REST_DAYS,OPP_REST_DAYS_NUM,REST_MATCHUP,REST_DAYS_NUM_CAT,OPP_REST_DAYS_NUM_CAT,REST_ADVANTAGE,REST_COMPARISON_GROUP,BACK_TO_BACK,B2B_VS_RESTED_OPP
0022400851,ATL,Atlanta Hawks,2025-02-28,ATL vs. OKC,0,119,0.489,0.417,0.783,-16,10,27,19,1,OKC,2025-02-26,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400878,ATL,Atlanta Hawks,2025-03-03,ATL @ MEM,1,132,0.573,0.464,0.529,2,14,35,12,0,MEM,2025-02-28,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400884,ATL,Atlanta Hawks,2025-03-04,ATL vs. MIL,0,121,0.455,0.39,0.765,-6,11,33,12,1,MIL,2025-03-03,0.0,0,2+,2.0,0 vs 2+,0,2,-2,2+ dias de diferença (0 vs 2+),1,1
0022400899,ATL,Atlanta Hawks,2025-03-06,ATL vs. IND,1,124,0.532,0.333,0.778,6,11,32,9,1,IND,2025-03-04,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400914,ATL,Atlanta Hawks,2025-03-08,ATL vs. IND,1,120,0.464,0.294,0.952,2,16,23,17,1,IND,2025-03-06,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400928,ATL,Atlanta Hawks,2025-03-10,ATL vs. PHI,1,132,0.541,0.405,0.786,9,14,34,15,1,PHI,2025-03-08,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400945,ATL,Atlanta Hawks,2025-03-12,ATL vs. CHA,1,123,0.42,0.389,0.897,13,13,26,14,1,CHA,2025-03-10,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400960,ATL,Atlanta Hawks,2025-03-14,ATL vs. LAC,0,98,0.42,0.273,0.882,-23,13,25,18,1,LAC,2025-03-12,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400978,ATL,Atlanta Hawks,2025-03-16,ATL @ BKN,0,114,0.467,0.297,0.792,-8,10,27,14,0,BKN,2025-03-14,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400993,ATL,Atlanta Hawks,2025-03-18,ATL @ CHA,1,134,0.538,0.489,0.8,32,11,27,11,0,CHA,2025-03-16,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022401025,ATL,Atlanta Hawks,2025-03-22,ATL vs. GSW,1,124,0.57,0.417,0.611,9,10,37,16,1,GSW,2025-03-18,3.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022401031,ATL,Atlanta Hawks,2025-03-23,ATL vs. PHI,1,132,0.552,0.459,0.864,13,10,35,17,1,PHI,2025-03-22,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
